trial,timestamp,algorithm,mean_collisions,mean_elapsed_s,wp2_time_s,wp3_time_s,goal_reached,timeout,notes,maze,platform,episodes_to_converge,success_rate
1,2026-03-24 10:24:08,Hardcoded,7,10.608,2.662,6.457,1,0,,U-maze,hardware,,1.0
2,2026-03-24 10:27:28,Hardcoded,7,10.592,2.665,6.454,1,0,,U-maze,hardware,,1.0
3,2026-03-24 10:49:54,Hardcoded,5,10.583,2.654,6.445,1,0,,U-maze,hardware,,1.0
4,2026-03-24 10:54:51,Hardcoded,9,10.673,2.657,6.536,1,0,,U-maze,hardware,,1.0
5,2026-03-24 10:55:41,Hardcoded,22,10.608,2.672,6.469,1,0,,U-maze,hardware,,1.0
6,2026-03-24 10:57:30,Hardcoded,0,10.588,2.657,6.442,1,0,,U-maze,hardware,,1.0
7,2026-03-24 10:59:41,Hardcoded,0,10.61,2.668,6.464,1,0,,U-maze,hardware,,1.0
8,2026-03-24 11:01:05,Hardcoded,0,10.615,2.665,6.461,1,0,,U-maze,hardware,,1.0
9,2026-03-24 11:01:40,Hardcoded,0,10.6,2.657,6.45,1,0,,U-maze,hardware,,1.0
10,2026-03-24 11:02:40,Hardcoded,0,10.586,2.657,6.439,1,0,,U-maze,hardware,,1.0
11,2026-03-24 11:03:07,Hardcoded,0,10.59,2.656,6.453,1,0,,U-maze,hardware,,1.0
12,2026-03-24 11:03:37,Hardcoded,0,10.588,2.654,6.446,1,0,,U-maze,hardware,,1.0
13,2026-03-24 11:04:10,Hardcoded,1,10.593,2.661,6.453,1,0,,U-maze,hardware,,1.0
14,2026-03-24 11:04:48,Hardcoded,2,10.624,2.667,6.462,1,0,,U-maze,hardware,,1.0
15,2026-03-24 11:05:26,Hardcoded,2,10.597,2.667,6.457,1,0,,U-maze,hardware,,1.0
16,2026-03-24 11:06:01,Hardcoded,0,10.587,2.667,6.448,1,0,,U-maze,hardware,,1.0
17,2026-03-24 11:06:29,Hardcoded,2,10.58,2.657,6.443,1,0,,U-maze,hardware,,1.0
18,2026-03-24 11:07:01,Hardcoded,2,10.59,2.657,6.446,1,0,,U-maze,hardware,,1.0
19,2026-03-24 11:07:34,Hardcoded,2,10.592,2.66,6.452,1,0,,U-maze,hardware,,1.0
20,2026-03-24 11:08:09,Hardcoded,2,10.607,2.67,6.463,1,0,,U-maze,hardware,,1.0
1,2026-03-24 11:43:44,Hardcoded,0,14.421,,,1,0,,Z-maze,hardware,,1.0
2,2026-03-24 11:53:30,Hardcoded,6,14.409,,,1,0,,Z-maze,hardware,,1.0
3,2026-03-24 11:54:37,Hardcoded,4,14.413,,,1,0,,Z-maze,hardware,,1.0
4,2026-03-24 15:04:10,Hardcoded,6,14.4,,,1,0,,Z-maze,hardware,,1.0
5,2026-03-24 15:04:52,Hardcoded,4,14.422,,,1,0,,Z-maze,hardware,,1.0
6,2026-03-24 15:05:43,Hardcoded,3,14.409,,,1,0,,Z-maze,hardware,,1.0
7,2026-03-24 15:06:20,Hardcoded,3,14.4,,,1,0,,Z-maze,hardware,,1.0
8,2026-03-24 15:06:54,Hardcoded,3,14.414,,,1,0,,Z-maze,hardware,,1.0
9,2026-03-24 15:07:26,Hardcoded,2,14.408,,,1,0,,Z-maze,hardware,,1.0
10,2026-03-24 15:07:57,Hardcoded,3,14.419,,,1,0,,Z-maze,hardware,,1.0
11,2026-03-24 15:08:28,Hardcoded,2,14.418,,,1,0,,Z-maze,hardware,,1.0
12,2026-03-24 15:09:10,Hardcoded,2,14.438,,,1,0,,Z-maze,hardware,,1.0
13,2026-03-24 15:09:44,Hardcoded,2,14.423,,,1,0,,Z-maze,hardware,,1.0
14,2026-03-24 15:10:15,Hardcoded,3,14.415,,,1,0,,Z-maze,hardware,,1.0
15,2026-03-24 15:10:47,Hardcoded,3,14.418,,,1,0,,Z-maze,hardware,,1.0
16,2026-03-24 15:11:20,Hardcoded,2,14.416,,,1,0,,Z-maze,hardware,,1.0
17,2026-03-24 15:11:50,Hardcoded,3,14.396,,,1,0,,Z-maze,hardware,,1.0
18,2026-03-24 15:12:22,Hardcoded,3,14.427,,,1,0,,Z-maze,hardware,,1.0
19,2026-03-24 15:12:56,Hardcoded,1,14.407,,,1,0,,Z-maze,hardware,,1.0
20,2026-03-24 15:13:37,Hardcoded,2,14.426,,,1,0,,Z-maze,hardware,,1.0
