run,algorithm,maze,platform,mean_collisions,mean_elapsed_s,success_rate,episodes_to_converge
1,PPO,U-maze,simulation,132.28,2.9953,0.008,500
2,PPO,U-maze,simulation,136.46,2.1418,0.012,500
3,PPO,U-maze,simulation,131.31,33.3248,0.014,500
4,PPO,U-maze,simulation,128.64,15.6915,0.008,500
5,PPO,U-maze,simulation,134.59,4.7839,0.014,500
6,PPO,U-maze,simulation,133.11,4.2566,0.018,500
7,PPO,U-maze,simulation,137.07,2.7397,0.016,500
8,PPO,U-maze,simulation,125.7,2.1952,0.012,500
9,PPO,U-maze,simulation,143.85,2.4489,0.01,500
10,PPO,U-maze,simulation,128.32,4.2554,0.006,500
11,PPO,U-maze,simulation,135.86,3.043,0.022,500
12,PPO,U-maze,simulation,132.54,4.3861,0.004,500
13,PPO,U-maze,simulation,137.14,4.779,0.014,500
14,PPO,U-maze,simulation,133.25,3.8493,0.012,500
15,PPO,U-maze,simulation,134.68,3.4801,0.01,500
16,PPO,U-maze,simulation,135.72,4.2546,0.006,500
17,PPO,U-maze,simulation,132.57,2.2357,0.006,500
18,PPO,U-maze,simulation,133.73,4.5384,0.012,500
19,PPO,U-maze,simulation,130.93,4.3605,0.004,500
20,PPO,U-maze,simulation,143.23,4.6574,0.004,500
1,Q-Learning,U-maze,simulation,37.9,0.4216,0.788,194
2,Q-Learning,U-maze,simulation,34.87,0.4439,0.854,155
3,Q-Learning,U-maze,simulation,39.29,0.5016,0.756,209
4,Q-Learning,U-maze,simulation,34.58,0.4407,0.85,160
5,Q-Learning,U-maze,simulation,62.36,1.0728,0.014,500
6,Q-Learning,U-maze,simulation,33.98,0.4218,0.88,147
7,Q-Learning,U-maze,simulation,36.1,0.4535,0.842,168
8,Q-Learning,U-maze,simulation,34.95,0.3844,0.832,166
9,Q-Learning,U-maze,simulation,34.4,0.4262,0.852,155
10,Q-Learning,U-maze,simulation,32.74,0.4391,0.88,142
11,Q-Learning,U-maze,simulation,34.68,0.4378,0.84,162
12,Q-Learning,U-maze,simulation,33.2,0.4057,0.88,143
13,Q-Learning,U-maze,simulation,36.59,0.447,0.824,175
14,Q-Learning,U-maze,simulation,33.25,0.4108,0.884,140
15,Q-Learning,U-maze,simulation,36.06,0.4419,0.826,171
16,Q-Learning,U-maze,simulation,33.42,0.4439,0.886,139
17,Q-Learning,U-maze,simulation,34.69,0.3728,0.846,164
18,Q-Learning,U-maze,simulation,50.9,0.8239,0.412,392
19,Q-Learning,U-maze,simulation,36.21,0.3998,0.82,181
20,Q-Learning,U-maze,simulation,33.64,0.4203,0.87,147
1,PPO,Z-maze,simulation,120.43,1.1695,0.0,500
2,PPO,Z-maze,simulation,118.44,1.1936,0.002,500
3,PPO,Z-maze,simulation,122.25,1.1574,0.0,500
4,PPO,Z-maze,simulation,147.65,1.0674,0.0,500
5,PPO,Z-maze,simulation,110.41,1.3345,0.0,500
6,PPO,Z-maze,simulation,128.36,1.2598,0.002,500
7,PPO,Z-maze,simulation,96.07,0.8941,0.0,500
8,PPO,Z-maze,simulation,113.5,0.8966,0.0,500
9,PPO,Z-maze,simulation,105.0,1.0711,0.0,500
10,PPO,Z-maze,simulation,118.96,1.2238,0.0,500
11,PPO,Z-maze,simulation,121.36,219.8172,0.0,500
12,PPO,Z-maze,simulation,109.43,1.2434,0.002,500
13,PPO,Z-maze,simulation,126.82,1.3205,0.0,500
14,PPO,Z-maze,simulation,113.81,2.4482,0.002,500
15,PPO,Z-maze,simulation,111.42,2.0572,0.0,500
16,PPO,Z-maze,simulation,93.82,2.7445,0.0,500
17,PPO,Z-maze,simulation,114.31,2.1052,0.0,500
18,PPO,Z-maze,simulation,117.02,2.3878,0.0,500
19,PPO,Z-maze,simulation,116.4,2.5199,0.0,500
20,PPO,Z-maze,simulation,121.19,2.5559,0.004,500
1,Q-Learning,Z-maze,simulation,50.27,1.9657,0.0,500
2,Q-Learning,Z-maze,simulation,50.19,2.3803,0.004,500
3,Q-Learning,Z-maze,simulation,50.95,2.4608,0.002,500
4,Q-Learning,Z-maze,simulation,49.39,0.6082,0.02,500
5,Q-Learning,Z-maze,simulation,50.5,0.6227,0.006,500
6,Q-Learning,Z-maze,simulation,50.27,1.9657,0.0,500
7,Q-Learning,Z-maze,simulation,49.69,0.58,0.004,500
8,Q-Learning,Z-maze,simulation,52.14,0.6066,0.004,500
9,Q-Learning,Z-maze,simulation,49.91,0.5948,0.0,500
10,Q-Learning,Z-maze,simulation,51.31,0.5836,0.0,500
11,Q-Learning,Z-maze,simulation,51.04,3.9574,0.0,500
12,Q-Learning,Z-maze,simulation,50.43,0.5858,0.0,500
13,Q-Learning,Z-maze,simulation,50.07,2.3479,0.004,500
14,Q-Learning,Z-maze,simulation,51.74,1.9958,0.0,500
15,Q-Learning,Z-maze,simulation,50.49,1.8765,0.004,500
16,Q-Learning,Z-maze,simulation,50.67,1.9122,0.004,500
17,Q-Learning,Z-maze,simulation,50.07,2.2897,0.002,500
18,Q-Learning,Z-maze,simulation,51.06,1.8824,0.0,500
19,Q-Learning,Z-maze,simulation,50.43,2.2417,0.0,500
20,Q-Learning,Z-maze,simulation,50.5,0.6227,0.006,500
