trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-03-31 22:06:10,PPO,U-maze,151,3.069,0,1,
2,2026-03-31 22:06:15,PPO,U-maze,130,4.951,0,1,
3,2026-03-31 22:06:20,PPO,U-maze,224,4.514,0,1,
4,2026-03-31 22:06:25,PPO,U-maze,172,5.167,0,1,
5,2026-03-31 22:06:30,PPO,U-maze,182,5.155,0,1,
6,2026-03-31 22:06:35,PPO,U-maze,164,5.059,0,1,
7,2026-03-31 22:06:40,PPO,U-maze,160,5.136,0,1,
8,2026-03-31 22:06:45,PPO,U-maze,110,5.084,0,1,
9,2026-03-31 22:06:49,PPO,U-maze,151,3.9,0,1,
10,2026-03-31 22:06:53,PPO,U-maze,91,3.933,0,1,
11,2026-03-31 22:06:57,PPO,U-maze,122,3.619,0,1,
12,2026-03-31 22:07:01,PPO,U-maze,134,4.205,0,1,
13,2026-03-31 22:07:05,PPO,U-maze,145,4.214,0,1,
14,2026-03-31 22:07:09,PPO,U-maze,202,4.235,0,1,
15,2026-03-31 22:07:13,PPO,U-maze,167,4.065,0,1,
16,2026-03-31 22:07:18,PPO,U-maze,123,4.159,0,1,
17,2026-03-31 22:07:22,PPO,U-maze,165,4.102,0,1,
18,2026-03-31 22:07:26,PPO,U-maze,116,4.231,0,1,
19,2026-03-31 22:07:30,PPO,U-maze,190,4.334,0,1,
20,2026-03-31 22:07:35,PPO,U-maze,128,4.38,0,1,
21,2026-03-31 22:07:39,PPO,U-maze,180,4.201,0,1,
22,2026-03-31 22:07:43,PPO,U-maze,85,4.557,0,1,
23,2026-03-31 22:07:49,PPO,U-maze,336,5.104,0,1,
24,2026-03-31 22:07:54,PPO,U-maze,327,5.157,0,1,
25,2026-03-31 22:07:59,PPO,U-maze,292,5.083,0,1,
26,2026-03-31 22:08:04,PPO,U-maze,231,4.728,0,1,
27,2026-03-31 22:08:08,PPO,U-maze,246,4.551,0,1,
28,2026-03-31 22:08:13,PPO,U-maze,134,5.058,1,0,
29,2026-03-31 22:08:18,PPO,U-maze,122,4.637,0,1,
30,2026-03-31 22:08:22,PPO,U-maze,126,4.61,0,1,
31,2026-03-31 22:08:28,PPO,U-maze,125,5.044,0,1,
32,2026-03-31 22:08:33,PPO,U-maze,123,5.115,0,1,
33,2026-03-31 22:08:38,PPO,U-maze,149,5.002,0,1,
34,2026-03-31 22:08:43,PPO,U-maze,147,5.15,0,1,
35,2026-03-31 22:08:47,PPO,U-maze,115,4.344,0,1,
36,2026-03-31 22:08:51,PPO,U-maze,128,4.269,0,1,
37,2026-03-31 22:08:57,PPO,U-maze,105,5.063,0,1,
38,2026-03-31 22:09:02,PPO,U-maze,177,5.103,0,1,
39,2026-03-31 22:09:07,PPO,U-maze,148,5.001,0,1,
40,2026-03-31 22:09:11,PPO,U-maze,122,4.622,0,1,
41,2026-03-31 22:09:16,PPO,U-maze,118,4.763,0,1,
42,2026-03-31 22:12:26,PPO,U-maze,111,189.71,0,1,
43,2026-03-31 22:12:30,PPO,U-maze,159,4.161,0,1,
44,2026-03-31 22:12:34,PPO,U-maze,113,3.993,0,1,
45,2026-03-31 22:12:37,PPO,U-maze,134,3.029,0,1,
46,2026-03-31 22:12:40,PPO,U-maze,140,3.028,0,1,
47,2026-03-31 22:12:43,PPO,U-maze,145,3.082,0,1,
48,2026-03-31 22:12:47,PPO,U-maze,141,4.287,0,1,
49,2026-03-31 22:12:52,PPO,U-maze,122,4.144,1,0,
50,2026-03-31 22:12:56,PPO,U-maze,159,4.881,0,1,
51,2026-03-31 22:13:02,PPO,U-maze,108,5.114,0,1,
52,2026-03-31 22:13:06,PPO,U-maze,166,4.795,0,1,
53,2026-03-31 22:13:11,PPO,U-maze,130,4.888,0,1,
54,2026-03-31 22:13:16,PPO,U-maze,118,5.014,0,1,
55,2026-03-31 22:13:21,PPO,U-maze,98,5.113,0,1,
56,2026-03-31 22:13:26,PPO,U-maze,99,5.053,0,1,
57,2026-03-31 22:13:31,PPO,U-maze,113,4.926,0,1,
58,2026-03-31 22:13:37,PPO,U-maze,129,5.096,0,1,
59,2026-03-31 22:13:41,PPO,U-maze,148,4.783,0,1,
60,2026-03-31 22:13:46,PPO,U-maze,122,4.897,0,1,
61,2026-03-31 22:13:51,PPO,U-maze,108,5.079,0,1,
62,2026-03-31 22:13:56,PPO,U-maze,126,5.024,0,1,
63,2026-03-31 22:14:01,PPO,U-maze,207,5.109,0,1,
64,2026-03-31 22:14:07,PPO,U-maze,90,5.094,0,1,
65,2026-03-31 22:14:12,PPO,U-maze,139,5.041,0,1,
66,2026-03-31 22:14:15,PPO,U-maze,126,3.637,0,1,
67,2026-03-31 22:14:20,PPO,U-maze,128,4.713,0,1,
68,2026-03-31 22:14:25,PPO,U-maze,120,5.106,0,1,
69,2026-03-31 22:14:30,PPO,U-maze,113,5.076,0,1,
70,2026-03-31 22:14:35,PPO,U-maze,129,5.007,0,1,
71,2026-03-31 22:14:40,PPO,U-maze,117,5.14,0,1,
72,2026-03-31 22:14:46,PPO,U-maze,105,5.144,0,1,
73,2026-03-31 22:14:51,PPO,U-maze,117,5.008,0,1,
74,2026-03-31 22:14:55,PPO,U-maze,95,4.558,0,1,
75,2026-03-31 22:15:00,PPO,U-maze,142,5.073,0,1,
76,2026-03-31 22:15:05,PPO,U-maze,129,5.061,0,1,
77,2026-03-31 22:15:10,PPO,U-maze,116,5.11,0,1,
78,2026-03-31 22:15:15,PPO,U-maze,118,5.116,0,1,
79,2026-03-31 22:15:21,PPO,U-maze,120,5.122,0,1,
80,2026-03-31 22:15:26,PPO,U-maze,118,5.134,0,1,
81,2026-03-31 22:15:30,PPO,U-maze,157,4.205,0,1,
82,2026-03-31 22:15:35,PPO,U-maze,144,4.916,0,1,
83,2026-03-31 22:15:40,PPO,U-maze,184,4.819,0,1,
84,2026-03-31 22:15:45,PPO,U-maze,111,5.086,0,1,
85,2026-03-31 22:15:50,PPO,U-maze,182,5.121,0,1,
86,2026-03-31 22:15:55,PPO,U-maze,150,5.063,0,1,
87,2026-03-31 22:16:00,PPO,U-maze,113,5.105,0,1,
88,2026-03-31 22:16:05,PPO,U-maze,130,5.161,0,1,
89,2026-03-31 22:16:10,PPO,U-maze,113,4.936,0,1,
90,2026-03-31 22:16:15,PPO,U-maze,154,4.779,0,1,
91,2026-03-31 22:16:20,PPO,U-maze,110,5.115,0,1,
92,2026-03-31 22:16:25,PPO,U-maze,133,5.056,0,1,
93,2026-03-31 22:16:30,PPO,U-maze,152,5.133,0,1,
94,2026-03-31 22:16:36,PPO,U-maze,116,5.111,0,1,
95,2026-03-31 22:16:41,PPO,U-maze,116,5.102,0,1,
96,2026-03-31 22:16:46,PPO,U-maze,119,4.911,0,1,
97,2026-03-31 22:16:50,PPO,U-maze,126,4.305,0,1,
98,2026-03-31 22:16:55,PPO,U-maze,152,5.144,0,1,
99,2026-03-31 22:17:00,PPO,U-maze,125,5.2,0,1,
100,2026-03-31 22:17:05,PPO,U-maze,120,5.088,0,1,
101,2026-03-31 22:17:10,PPO,U-maze,139,4.716,0,1,
102,2026-03-31 22:17:15,PPO,U-maze,126,5.099,0,1,
103,2026-03-31 22:17:20,PPO,U-maze,117,5.182,0,1,
104,2026-03-31 22:17:25,PPO,U-maze,103,4.691,0,1,
105,2026-03-31 22:17:30,PPO,U-maze,117,4.854,0,1,
106,2026-03-31 22:17:34,PPO,U-maze,134,3.676,0,1,
107,2026-03-31 22:17:39,PPO,U-maze,119,4.974,0,1,
