episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-886.847,109,0,1,500,,,3.964,
2,-1630.792,202,0,1,500,,,3.75,
3,-1067.011,133,0,1,500,,,3.833,
4,-958.495,120,0,1,500,,,7.848,
5,-1054.926,134,0,1,500,,,3.002,
6,-1353.727,167,0,1,500,,,2.85,
7,-1053.62,132,0,1,500,,,2.85,
8,-1296.074,161,0,1,500,,,2.902,
9,-1537.279,190,0,1,500,,,2.728,
10,-1624.477,201,0,1,500,,,3.901,
11,-1645.314,204,0,1,500,,,3.393,
12,-888.887,111,0,1,500,,,2.751,
13,-1720.246,213,0,1,500,,,2.938,
14,-1712.222,212,0,1,500,,,4.505,
15,-983.314,121,0,1,500,,,4.414,
16,-1013.546,128,0,1,500,,,3.906,
17,-1073.234,131,0,1,500,,,4.263,
18,-472.127,125,1,0,468,,4.049,4.049,
19,-1142.037,140,0,1,500,,,2.452,
20,-1283.499,162,0,1,500,,,2.309,
21,-1663.554,206,0,1,500,,,2.258,
22,-1146.919,141,0,1,500,,,3.305,
23,-1201.9,148,0,1,500,,,4.303,
24,-1079.803,132,0,1,500,,,3.427,
25,-1003.544,123,0,1,500,,,2.196,
26,-972.802,119,0,1,500,,,2.309,
27,-1151.61,145,0,1,500,,,2.134,
28,-1163.954,143,0,1,500,,,2.284,
29,-1101.741,138,0,1,500,,,2.246,
30,-1510.231,187,0,1,500,,,2.254,
31,-1640.034,203,0,1,500,,,2.269,
32,-1390.815,172,0,1,500,,,2.33,
33,-1075.675,134,0,1,500,,,2.433,
34,-903.575,110,0,1,500,,,2.332,
35,-1926.478,239,0,1,500,,,2.218,
36,-1080.634,136,0,1,500,,,2.177,
37,-1068.164,131,0,1,500,,,2.101,
38,-835.299,104,0,1,500,,,2.201,
39,-1267.274,156,0,1,500,,,2.156,
40,-1942.367,241,0,1,500,,,2.171,
41,-1470.757,182,0,1,500,,,2.194,
42,-1128.551,141,0,1,500,,,2.071,
