trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-03-30 01:06:11,Q-Learning,U-maze,156,1.102,0,1,
2,2026-03-30 01:06:12,Q-Learning,U-maze,148,1.091,0,1,
3,2026-03-30 01:06:13,Q-Learning,U-maze,119,1.042,0,1,
4,2026-03-30 01:06:14,Q-Learning,U-maze,125,1.084,0,1,
5,2026-03-30 01:06:15,Q-Learning,U-maze,121,1.066,0,1,
6,2026-03-30 01:06:16,Q-Learning,U-maze,127,1.083,0,1,
7,2026-03-30 01:06:17,Q-Learning,U-maze,112,1.033,0,1,
8,2026-03-30 01:06:18,Q-Learning,U-maze,114,1.067,0,1,
9,2026-03-30 01:06:19,Q-Learning,U-maze,136,1.067,0,1,
10,2026-03-30 01:06:20,Q-Learning,U-maze,130,1.066,0,1,
11,2026-03-30 01:06:21,Q-Learning,U-maze,138,1.069,0,1,
12,2026-03-30 01:06:22,Q-Learning,U-maze,151,1.067,0,1,
13,2026-03-30 01:06:23,Q-Learning,U-maze,129,1.067,0,1,
14,2026-03-30 01:06:25,Q-Learning,U-maze,122,1.099,0,1,
15,2026-03-30 01:06:26,Q-Learning,U-maze,106,1.069,0,1,
16,2026-03-30 01:06:27,Q-Learning,U-maze,134,1.078,0,1,
17,2026-03-30 01:06:28,Q-Learning,U-maze,131,1.05,0,1,
18,2026-03-30 01:06:29,Q-Learning,U-maze,140,1.05,0,1,
19,2026-03-30 01:06:30,Q-Learning,U-maze,135,1.099,0,1,
20,2026-03-30 01:06:31,Q-Learning,U-maze,117,1.067,0,1,
21,2026-03-30 01:06:32,Q-Learning,U-maze,132,1.083,0,1,
22,2026-03-30 01:06:33,Q-Learning,U-maze,117,1.067,0,1,
23,2026-03-30 01:06:34,Q-Learning,U-maze,109,1.116,0,1,
24,2026-03-30 01:06:35,Q-Learning,U-maze,113,1.068,0,1,
25,2026-03-30 01:06:36,Q-Learning,U-maze,115,1.048,0,1,
26,2026-03-30 01:06:37,Q-Learning,U-maze,127,1.05,0,1,
27,2026-03-30 01:06:38,Q-Learning,U-maze,128,1.061,0,1,
28,2026-03-30 01:06:40,Q-Learning,U-maze,136,1.07,0,1,
29,2026-03-30 01:06:41,Q-Learning,U-maze,122,1.067,0,1,
30,2026-03-30 01:06:42,Q-Learning,U-maze,123,1.092,0,1,
31,2026-03-30 01:06:43,Q-Learning,U-maze,133,1.091,0,1,
32,2026-03-30 01:06:44,Q-Learning,U-maze,135,1.082,0,1,
33,2026-03-30 01:06:45,Q-Learning,U-maze,86,0.903,1,0,
34,2026-03-30 01:06:46,Q-Learning,U-maze,119,1.083,0,1,
35,2026-03-30 01:06:47,Q-Learning,U-maze,129,1.165,0,1,
36,2026-03-30 01:06:48,Q-Learning,U-maze,104,1.05,0,1,
37,2026-03-30 01:06:49,Q-Learning,U-maze,126,1.05,0,1,
38,2026-03-30 01:06:50,Q-Learning,U-maze,124,1.1,0,1,
39,2026-03-30 01:06:51,Q-Learning,U-maze,119,1.066,0,1,
40,2026-03-30 01:06:52,Q-Learning,U-maze,78,0.717,1,0,
