episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-1265.349,156,0,1,500,0.9965,,1.102,
2,-1202.301,148,0,1,500,0.993,,1.091,
3,-974.7,119,0,1,500,0.9895,,1.042,
4,-999.478,125,0,1,500,0.9861,,1.084,
5,-977.565,121,0,1,500,0.9826,,1.066,
6,-1034.601,127,0,1,500,0.9792,,1.083,
7,-915.479,112,0,1,500,0.9758,,1.033,
8,-937.17,114,0,1,500,0.9723,,1.067,
9,-1105.214,136,0,1,500,0.9689,,1.067,
10,-1058.819,130,0,1,500,0.9655,,1.066,
11,-1120.6,138,0,1,500,0.9622,,1.069,
12,-1223.815,151,0,1,500,0.9588,,1.067,
13,-1053.485,129,0,1,500,0.9554,,1.067,
14,-980.445,122,0,1,500,0.9521,,1.099,
15,-846.294,106,0,1,500,0.9488,,1.069,
16,-1096.703,134,0,1,500,0.9454,,1.078,
17,-1068.318,131,0,1,500,0.9421,,1.05,
18,-1138.044,140,0,1,500,0.9388,,1.05,
19,-1099.986,135,0,1,500,0.9356,,1.099,
20,-924.999,117,0,1,500,0.9323,,1.067,
21,-1072.732,132,0,1,500,0.929,,1.083,
22,-934.348,117,0,1,500,0.9258,,1.067,
23,-867.416,109,0,1,500,0.9225,,1.116,
24,-923.511,113,0,1,500,0.9193,,1.068,
25,-937.571,115,0,1,500,0.9161,,1.048,
26,-1034.703,127,0,1,500,0.9129,,1.05,
27,-1009.282,128,0,1,500,0.9097,,1.061,
28,-1106.381,136,0,1,500,0.9065,,1.07,
29,-993.328,122,0,1,500,0.9033,,1.067,
30,-1004.693,123,0,1,500,0.9002,,1.092,
31,-1082.503,133,0,1,500,0.897,,1.091,
32,-1100.14,135,0,1,500,0.8939,,1.082,
33,-158.813,86,1,0,411,0.8907,0.903,0.903,
34,-962.061,119,0,1,500,0.8876,,1.083,
35,-1049.013,129,0,1,500,0.8845,,1.165,
36,-851.825,104,0,1,500,0.8814,,1.05,
37,-1025.005,126,0,1,500,0.8783,,1.05,
38,-1011.026,124,0,1,500,0.8753,,1.1,
39,-971.805,119,0,1,500,0.8722,,1.066,
40,-92.399,78,1,0,350,0.8691,0.717,0.717,
41,-990.55,125,0,1,500,0.8661,,1.05,
42,-969.442,119,0,1,500,0.8631,,1.097,
43,-877.398,111,0,1,500,0.8601,,1.049,
44,-845.597,103,0,1,500,0.857,,1.05,
45,-1004.707,123,0,1,500,0.854,,1.067,
46,-961.428,118,0,1,500,0.8511,,1.083,
47,-1058.631,130,0,1,500,0.8481,,1.071,
48,-858.005,105,0,1,500,0.8451,,1.068,
49,-994.925,122,0,1,500,0.8421,,1.08,
50,-1003.521,123,0,1,500,0.8392,,1.067,
51,-985.48,121,0,1,500,0.8363,,1.066,
52,-706.945,86,0,1,500,0.8333,,1.116,
53,-906.304,112,0,1,500,0.8304,,1.05,
54,-1013.57,124,0,1,500,0.8275,,1.139,
55,-641.454,81,0,1,500,0.8246,,1.156,
56,-918.938,112,0,1,500,0.8217,,1.1,
57,-685.128,86,0,1,500,0.8189,,1.086,
58,-870.167,106,0,1,500,0.816,,1.049,
59,-788.183,96,0,1,500,0.8131,,1.092,
60,-778.714,95,0,1,500,0.8103,,1.053,
61,-859.729,105,0,1,500,0.8074,,1.099,
62,-898.944,110,0,1,500,0.8046,,1.067,
63,-722.384,88,0,1,500,0.8018,,1.077,
64,-683.164,83,0,1,500,0.799,,1.04,
65,-875.878,107,0,1,500,0.7962,,1.051,
66,-929.515,114,0,1,500,0.7934,,1.069,
67,-939.977,115,0,1,500,0.7906,,1.083,
