trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-04-06 18:48:54,PPO,Z-maze,73,0.871,0,1,
2,2026-04-06 18:48:55,PPO,Z-maze,147,0.838,0,1,
3,2026-04-06 18:48:56,PPO,Z-maze,243,0.898,0,1,
4,2026-04-06 18:48:57,PPO,Z-maze,150,0.865,0,1,
5,2026-04-06 18:48:58,PPO,Z-maze,252,0.835,0,1,
6,2026-04-06 18:48:59,PPO,Z-maze,235,0.89,0,1,
7,2026-04-06 18:48:59,PPO,Z-maze,241,0.865,0,1,
8,2026-04-06 18:49:00,PPO,Z-maze,189,0.914,0,1,
9,2026-04-06 18:49:01,PPO,Z-maze,183,0.783,0,1,
10,2026-04-06 18:49:02,PPO,Z-maze,149,0.938,0,1,
11,2026-04-06 18:49:03,PPO,Z-maze,97,0.842,0,1,
12,2026-04-06 18:49:04,PPO,Z-maze,100,0.836,0,1,
13,2026-04-06 18:49:05,PPO,Z-maze,121,0.83,0,1,
14,2026-04-06 18:49:05,PPO,Z-maze,170,0.833,0,1,
15,2026-04-06 18:49:06,PPO,Z-maze,217,0.934,0,1,
16,2026-04-06 18:49:07,PPO,Z-maze,349,0.966,0,1,
17,2026-04-06 18:49:08,PPO,Z-maze,429,0.836,0,1,
18,2026-04-06 18:49:09,PPO,Z-maze,403,0.859,0,1,
19,2026-04-06 18:49:10,PPO,Z-maze,365,0.945,0,1,
20,2026-04-06 18:49:11,PPO,Z-maze,266,0.95,0,1,
21,2026-04-06 18:49:12,PPO,Z-maze,79,0.822,0,1,
22,2026-04-06 18:49:13,PPO,Z-maze,141,0.873,0,1,
23,2026-04-06 18:49:14,PPO,Z-maze,155,0.849,0,1,
24,2026-04-06 18:49:14,PPO,Z-maze,90,0.879,0,1,
25,2026-04-06 18:49:15,PPO,Z-maze,122,0.909,0,1,
26,2026-04-06 18:49:16,PPO,Z-maze,124,0.906,0,1,
27,2026-04-06 18:49:17,PPO,Z-maze,89,0.86,0,1,
28,2026-04-06 18:49:18,PPO,Z-maze,252,1.135,0,1,
29,2026-04-06 18:49:19,PPO,Z-maze,148,0.902,0,1,
30,2026-04-06 18:49:20,PPO,Z-maze,150,0.991,0,1,
31,2026-04-06 18:49:21,PPO,Z-maze,102,1.038,0,1,
32,2026-04-06 18:49:23,PPO,Z-maze,255,1.34,0,1,
33,2026-04-06 18:49:24,PPO,Z-maze,309,1.753,0,1,
34,2026-04-06 18:49:26,PPO,Z-maze,163,1.41,0,1,
35,2026-04-06 18:49:27,PPO,Z-maze,174,1.064,0,1,
36,2026-04-06 18:49:28,PPO,Z-maze,94,1.191,0,1,
37,2026-04-06 18:49:29,PPO,Z-maze,176,1.087,0,1,
38,2026-04-06 18:49:30,PPO,Z-maze,88,1.255,0,1,
39,2026-04-06 18:49:32,PPO,Z-maze,98,1.328,0,1,
40,2026-04-06 18:49:33,PPO,Z-maze,103,1.304,0,1,
41,2026-04-06 18:49:34,PPO,Z-maze,128,1.243,0,1,
42,2026-04-06 18:49:35,PPO,Z-maze,95,1.162,0,1,
43,2026-04-06 18:49:37,PPO,Z-maze,169,1.199,0,1,
44,2026-04-06 18:49:38,PPO,Z-maze,103,1.069,0,1,
45,2026-04-06 18:49:39,PPO,Z-maze,170,1.067,0,1,
46,2026-04-06 18:49:40,PPO,Z-maze,72,1.197,0,1,
47,2026-04-06 18:49:41,PPO,Z-maze,228,1.111,0,1,
48,2026-04-06 18:49:42,PPO,Z-maze,103,1.136,0,1,
49,2026-04-06 18:49:43,PPO,Z-maze,130,0.979,0,1,
50,2026-04-06 18:49:44,PPO,Z-maze,215,1.053,0,1,
51,2026-04-06 18:49:45,PPO,Z-maze,130,1.295,0,1,
52,2026-04-06 18:49:47,PPO,Z-maze,110,1.16,0,1,
53,2026-04-06 18:49:48,PPO,Z-maze,180,1.102,0,1,
54,2026-04-06 18:49:49,PPO,Z-maze,153,1.114,0,1,
55,2026-04-06 18:49:50,PPO,Z-maze,209,1.226,0,1,
56,2026-04-06 18:49:51,PPO,Z-maze,98,1.142,0,1,
57,2026-04-06 18:49:52,PPO,Z-maze,134,1.104,0,1,
58,2026-04-06 18:49:54,PPO,Z-maze,155,1.271,0,1,
59,2026-04-06 18:49:55,PPO,Z-maze,119,1.076,0,1,
60,2026-04-06 18:49:56,PPO,Z-maze,152,1.138,0,1,
61,2026-04-06 18:49:57,PPO,Z-maze,142,1.165,0,1,
62,2026-04-06 18:49:58,PPO,Z-maze,114,1.128,0,1,
63,2026-04-06 18:49:59,PPO,Z-maze,103,1.207,0,1,
64,2026-04-06 18:50:01,PPO,Z-maze,176,1.307,0,1,
65,2026-04-06 18:50:02,PPO,Z-maze,94,1.138,0,1,
66,2026-04-06 18:50:03,PPO,Z-maze,148,1.255,0,1,
67,2026-04-06 18:50:04,PPO,Z-maze,120,1.184,0,1,
68,2026-04-06 18:50:05,PPO,Z-maze,99,1.196,0,1,
69,2026-04-06 18:50:07,PPO,Z-maze,125,1.063,0,1,
70,2026-04-06 18:50:08,PPO,Z-maze,110,1.149,0,1,
71,2026-04-06 18:50:09,PPO,Z-maze,161,1.439,0,1,
72,2026-04-06 18:50:11,PPO,Z-maze,79,1.38,0,1,
73,2026-04-06 18:50:12,PPO,Z-maze,145,1.154,0,1,
74,2026-04-06 18:50:14,PPO,Z-maze,94,1.911,0,1,
75,2026-04-06 18:50:15,PPO,Z-maze,100,1.101,0,1,
76,2026-04-06 18:50:16,PPO,Z-maze,116,1.156,0,1,
77,2026-04-06 18:50:17,PPO,Z-maze,161,1.147,0,1,
78,2026-04-06 18:50:18,PPO,Z-maze,118,1.037,0,1,
79,2026-04-06 18:50:19,PPO,Z-maze,112,1.092,0,1,
80,2026-04-06 18:50:20,PPO,Z-maze,140,1.169,0,1,
81,2026-04-06 18:50:22,PPO,Z-maze,129,1.278,0,1,
82,2026-04-06 18:50:23,PPO,Z-maze,141,1.123,0,1,
83,2026-04-06 18:50:24,PPO,Z-maze,89,1.127,0,1,
84,2026-04-06 18:50:25,PPO,Z-maze,115,1.124,0,1,
85,2026-04-06 18:50:26,PPO,Z-maze,122,1.169,0,1,
86,2026-04-06 18:50:27,PPO,Z-maze,135,1.101,0,1,
87,2026-04-06 18:50:28,PPO,Z-maze,114,1.128,0,1,
88,2026-04-06 18:50:29,PPO,Z-maze,179,1.066,0,1,
89,2026-04-06 18:50:31,PPO,Z-maze,109,1.11,0,1,
90,2026-04-06 18:50:32,PPO,Z-maze,124,1.114,0,1,
91,2026-04-06 18:50:33,PPO,Z-maze,137,1.137,0,1,
92,2026-04-06 18:50:34,PPO,Z-maze,169,1.083,0,1,
93,2026-04-06 18:50:35,PPO,Z-maze,124,1.103,0,1,
94,2026-04-06 18:50:36,PPO,Z-maze,139,1.174,0,1,
95,2026-04-06 18:50:37,PPO,Z-maze,115,1.136,0,1,
96,2026-04-06 18:50:38,PPO,Z-maze,102,1.052,0,1,
97,2026-04-06 18:50:39,PPO,Z-maze,141,1.065,0,1,
98,2026-04-06 18:50:41,PPO,Z-maze,123,1.192,0,1,
99,2026-04-06 18:50:42,PPO,Z-maze,118,1.04,0,1,
100,2026-04-06 18:50:43,PPO,Z-maze,121,1.157,0,1,
101,2026-04-06 18:50:44,PPO,Z-maze,87,1.069,0,1,
102,2026-04-06 18:50:45,PPO,Z-maze,319,1.306,0,1,
103,2026-04-06 18:50:46,PPO,Z-maze,316,1.201,0,1,
104,2026-04-06 18:50:48,PPO,Z-maze,286,1.225,0,1,
105,2026-04-06 18:50:49,PPO,Z-maze,115,1.371,0,1,
106,2026-04-06 18:50:50,PPO,Z-maze,82,1.382,0,1,
107,2026-04-06 18:50:52,PPO,Z-maze,82,1.324,0,1,
108,2026-04-06 18:50:53,PPO,Z-maze,80,1.302,0,1,
109,2026-04-06 18:50:54,PPO,Z-maze,135,1.281,0,1,
110,2026-04-06 18:50:56,PPO,Z-maze,95,1.365,0,1,
111,2026-04-06 18:50:57,PPO,Z-maze,115,1.303,0,1,
112,2026-04-06 18:50:58,PPO,Z-maze,106,1.092,0,1,
113,2026-04-06 18:50:59,PPO,Z-maze,129,1.089,0,1,
114,2026-04-06 18:51:00,PPO,Z-maze,96,1.117,0,1,
115,2026-04-06 18:51:01,PPO,Z-maze,104,1.084,0,1,
116,2026-04-06 18:51:03,PPO,Z-maze,143,1.114,0,1,
117,2026-04-06 18:51:04,PPO,Z-maze,133,1.154,0,1,
118,2026-04-06 18:51:05,PPO,Z-maze,117,0.966,0,1,
119,2026-04-06 18:51:06,PPO,Z-maze,57,1.153,0,1,
120,2026-04-06 18:51:07,PPO,Z-maze,136,1.087,0,1,
121,2026-04-06 18:51:08,PPO,Z-maze,98,1.153,0,1,
122,2026-04-06 18:51:09,PPO,Z-maze,147,1.068,0,1,
