episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-850.609,108,0,1,500,,,0.772,
2,-849.083,108,0,1,500,,,0.777,
3,-1066.744,135,0,1,500,,,0.764,
4,-827.586,104,0,1,500,,,0.767,
5,-1860.396,231,0,1,500,,,0.831,
6,-1320.875,163,0,1,500,,,0.766,
7,-1386.605,172,0,1,500,,,0.777,
8,-1101.39,138,0,1,500,,,0.754,
9,-1405.562,178,0,1,500,,,0.783,
10,-875.287,111,0,1,500,,,0.85,
11,-1749.259,220,0,1,500,,,0.835,
12,-1394.825,172,0,1,500,,,0.795,
13,-935.933,115,0,1,500,,,0.823,
14,-940.969,116,0,1,500,,,0.844,
15,-1243.921,158,0,1,500,,,0.818,
16,-1099.535,138,0,1,500,,,0.762,
17,-790.151,98,0,1,500,,,0.781,
18,-2458.21,306,0,1,500,,,0.785,
19,-2267.416,282,0,1,500,,,0.886,
20,-1567.992,194,0,1,500,,,0.857,
21,-2009.906,250,0,1,500,,,0.822,
22,-1302.445,161,0,1,500,,,0.792,
23,-721.109,90,0,1,500,,,0.792,
24,-706.366,89,0,1,500,,,0.962,
25,-909.372,113,0,1,500,,,1.076,
26,-1035.34,127,0,1,500,,,2.241,
27,-1122.168,142,0,1,500,,,2.332,
28,-924.987,117,0,1,500,,,1.834,
29,-1680.864,208,0,1,500,,,1.682,
30,-1143.266,145,0,1,500,,,1.101,
31,-747.771,92,0,1,500,,,1.024,
32,-813.051,103,0,1,500,,,1.037,
33,-806.065,100,0,1,500,,,1.013,
34,-996.699,124,0,1,500,,,1.041,
35,-673.813,84,0,1,500,,,0.916,
36,-1243.153,155,0,1,500,,,0.936,
37,-980.21,123,0,1,500,,,0.994,
38,-875.011,110,0,1,500,,,0.777,
39,-1446.789,179,0,1,500,,,0.852,
40,-1249.728,157,0,1,500,,,0.869,
41,-674.374,82,0,1,500,,,0.919,
42,-914.947,115,0,1,500,,,0.877,
43,-1037.135,129,0,1,500,,,0.854,
44,-1144.13,142,0,1,500,,,0.865,
45,-1031.656,130,0,1,500,,,0.871,
46,-803.04,98,0,1,500,,,0.818,
47,-987.652,122,0,1,500,,,0.887,
48,-1086.087,135,0,1,500,,,0.85,
49,-1007.78,126,0,1,500,,,0.865,
50,-818.461,102,0,1,500,,,0.843,
51,-837.966,104,0,1,500,,,0.871,
52,-962.489,121,0,1,500,,,0.873,
53,-491.545,60,0,1,500,,,0.84,
54,-739.621,92,0,1,500,,,0.889,
55,-639.526,81,0,1,500,,,0.862,
56,-811.215,100,0,1,500,,,0.96,
57,-1026.839,128,0,1,500,,,0.858,
58,-1252.136,157,0,1,500,,,0.884,
59,-809.77,102,0,1,500,,,0.837,
60,-1035.854,131,0,1,500,,,0.892,
61,-931.054,117,0,1,500,,,0.841,
62,-3014.935,379,0,1,500,,,0.885,
63,-3084.726,388,0,1,500,,,0.951,
64,-2689.045,338,0,1,500,,,0.946,
65,-2416.686,302,0,1,500,,,0.881,
66,-1220.868,152,0,1,500,,,0.939,
67,-2029.247,255,0,1,500,,,0.86,
68,-932.533,114,0,1,500,,,0.857,
69,-965.378,121,0,1,500,,,0.871,
70,-864.022,110,0,1,500,,,0.816,
71,-1044.868,129,0,1,500,,,0.902,
72,-1214.787,154,0,1,500,,,0.856,
73,-1009.963,125,0,1,500,,,0.811,
74,-1073.85,133,0,1,500,,,0.865,
75,-1044.149,131,0,1,500,,,0.972,
76,-1049.961,132,0,1,500,,,0.875,
77,-790.489,99,0,1,500,,,0.858,
78,-734.528,91,0,1,500,,,0.844,
79,-875.408,110,0,1,500,,,0.908,
80,-649.927,81,0,1,500,,,0.839,
81,-1048.995,133,0,1,500,,,0.882,
82,-1222.241,153,0,1,500,,,0.872,
83,-991.059,126,0,1,500,,,0.865,
84,-877.309,112,0,1,500,,,0.932,
85,-664.083,83,0,1,500,,,0.908,
86,-863.836,107,0,1,500,,,0.903,
87,-756.67,94,0,1,500,,,0.874,
88,-1487.149,187,0,1,500,,,0.908,
89,-928.819,118,0,1,500,,,0.866,
90,-1184.838,149,0,1,500,,,0.896,
91,-1136.808,141,0,1,500,,,0.881,
92,-1213.042,151,0,1,500,,,0.879,
93,-674.861,86,0,1,500,,,0.913,
94,-654.615,81,0,1,500,,,0.842,
95,-1098.809,139,0,1,500,,,0.89,
96,-835.073,103,0,1,500,,,0.85,
97,-1040.232,129,0,1,500,,,0.845,
98,-1159.398,144,0,1,500,,,0.887,
99,-1111.746,138,0,1,500,,,0.871,
100,-1356.23,169,0,1,500,,,0.913,
101,-763.808,94,0,1,500,,,0.875,
102,-796.047,98,0,1,500,,,0.931,
103,-1220.869,153,0,1,500,,,0.868,
104,-886.068,110,0,1,500,,,0.859,
105,-913.927,114,0,1,500,,,0.873,
106,-1131.324,143,0,1,500,,,0.885,
107,-614.473,75,0,1,500,,,0.827,
108,-920.554,116,0,1,500,,,0.894,
109,-869.479,110,0,1,500,,,0.888,
110,-783.83,97,0,1,500,,,0.86,
111,-618.13,78,0,1,500,,,0.884,
112,-921.649,113,0,1,500,,,0.885,
113,-754.942,95,0,1,500,,,0.834,
114,-709.984,89,0,1,500,,,0.896,
115,-691.233,88,0,1,500,,,0.855,
116,-2049.299,256,0,1,500,,,0.89,
117,-1147.697,144,0,1,500,,,0.942,
118,-1097.258,136,0,1,500,,,0.85,
119,-673.02,83,0,1,500,,,0.911,
120,-781.48,98,0,1,500,,,0.879,
121,-1514.144,190,0,1,500,,,0.883,
122,-1383.111,172,0,1,500,,,0.854,
123,-1674.189,210,0,1,500,,,0.873,
124,-1348.762,171,0,1,500,,,0.873,
125,-1661.665,207,0,1,500,,,0.898,
126,-2694.973,337,0,1,500,,,0.888,
127,-1019.159,126,0,1,500,,,0.852,
128,-675.884,86,0,1,500,,,0.951,
129,-1270.206,159,0,1,500,,,0.878,
130,-1161.24,147,0,1,500,,,0.844,
131,-1434.93,181,0,1,500,,,0.864,
132,-703.751,86,0,1,500,,,0.888,
133,-1177.067,148,0,1,500,,,0.923,
134,-938.319,117,0,1,500,,,0.893,
135,-740.748,93,0,1,500,,,0.86,
136,-859.806,106,0,1,500,,,0.881,
137,-739.063,92,0,1,500,,,0.835,
138,-751.935,95,0,1,500,,,0.901,
139,-714.67,91,0,1,500,,,0.857,
140,-605.561,77,0,1,500,,,0.873,
141,-521.097,63,0,1,500,,,0.866,
142,-1074.423,134,0,1,500,,,0.874,
143,-765.488,96,0,1,500,,,0.891,
144,-671.957,84,0,1,500,,,0.882,
145,-918.739,116,0,1,500,,,0.845,
146,-1167.569,148,0,1,500,,,0.967,
147,-797.916,101,0,1,500,,,0.886,
148,-990.559,124,0,1,500,,,0.887,
149,-896.876,114,0,1,500,,,0.881,
150,-406.24,51,0,1,500,,,0.847,
151,-621.307,76,0,1,500,,,0.896,
152,-546.866,68,0,1,500,,,0.863,
153,-491.008,61,0,1,500,,,0.88,
154,-891.173,113,0,1,500,,,0.934,
155,-684.412,86,0,1,500,,,0.864,
156,-507.409,63,0,1,500,,,0.886,
157,-1014.59,125,0,1,500,,,0.901,
158,-838.123,106,0,1,500,,,0.844,
159,-812.696,103,0,1,500,,,0.87,
160,-756.619,95,0,1,500,,,0.856,
161,-897.945,113,0,1,500,,,0.844,
162,-603.385,77,0,1,500,,,0.847,
163,-384.34,47,0,1,500,,,0.861,
164,-659.027,81,0,1,500,,,0.899,
165,-1330.64,166,0,1,500,,,0.903,
166,-814.899,101,0,1,500,,,0.877,
167,-342.529,41,0,1,500,,,0.88,
168,-802.14,99,0,1,500,,,0.937,
169,-1705.836,213,0,1,500,,,0.936,
170,-838.809,105,0,1,500,,,0.855,
171,-1369.719,172,0,1,500,,,0.857,
172,-919.004,114,0,1,500,,,0.89,
173,-811.793,103,0,1,500,,,0.864,
174,-866.183,108,0,1,500,,,0.849,
175,-877.98,109,0,1,500,,,0.907,
176,-652.497,82,0,1,500,,,0.893,
177,-698.25,88,0,1,500,,,0.875,
178,-1083.008,134,0,1,500,,,0.887,
179,-509.558,64,0,1,500,,,0.824,
180,-1132.186,142,0,1,500,,,0.882,
181,-808.753,101,0,1,500,,,0.939,
182,-493.567,62,0,1,500,,,0.841,
183,-1391.194,175,0,1,500,,,0.875,
184,-772.362,95,0,1,500,,,0.865,
185,-580.829,71,0,1,500,,,0.87,
186,-604.443,74,0,1,500,,,0.881,
187,-874.14,109,0,1,500,,,0.901,
188,-467.965,57,0,1,500,,,0.949,
189,-730.268,92,0,1,500,,,0.888,
190,-870.612,109,0,1,500,,,0.893,
