trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-04-03 16:02:13,Q-Learning,Z-maze,114,1.126,0,1,
2,2026-04-03 16:02:14,Q-Learning,Z-maze,122,1.207,0,1,
3,2026-04-03 16:02:15,Q-Learning,Z-maze,153,1.167,0,1,
4,2026-04-03 16:02:16,Q-Learning,Z-maze,149,0.949,0,1,
5,2026-04-03 16:02:17,Q-Learning,Z-maze,99,1.14,0,1,
6,2026-04-03 16:02:18,Q-Learning,Z-maze,145,1.053,0,1,
7,2026-04-03 16:02:22,Q-Learning,Z-maze,167,3.124,0,1,
8,2026-04-03 16:02:24,Q-Learning,Z-maze,103,2.556,0,1,
9,2026-04-03 16:02:27,Q-Learning,Z-maze,154,2.739,0,1,
10,2026-04-03 16:02:31,Q-Learning,Z-maze,72,3.68,0,1,
11,2026-04-03 16:02:33,Q-Learning,Z-maze,111,1.976,0,1,
12,2026-04-03 16:02:35,Q-Learning,Z-maze,161,2.487,0,1,
13,2026-04-03 16:02:38,Q-Learning,Z-maze,142,2.976,0,1,
14,2026-04-03 16:02:40,Q-Learning,Z-maze,123,2.287,0,1,
15,2026-04-03 16:02:43,Q-Learning,Z-maze,74,2.24,0,1,
16,2026-04-03 16:02:45,Q-Learning,Z-maze,77,2.696,0,1,
17,2026-04-03 16:02:49,Q-Learning,Z-maze,93,3.619,0,1,
18,2026-04-03 16:02:51,Q-Learning,Z-maze,76,2.07,0,1,
19,2026-04-03 16:02:53,Q-Learning,Z-maze,79,1.975,0,1,
20,2026-04-03 16:02:55,Q-Learning,Z-maze,105,2.068,0,1,
21,2026-04-03 16:02:57,Q-Learning,Z-maze,119,1.956,0,1,
22,2026-04-03 16:02:59,Q-Learning,Z-maze,96,1.984,0,1,
23,2026-04-03 16:03:01,Q-Learning,Z-maze,137,2.021,0,1,
24,2026-04-03 16:03:03,Q-Learning,Z-maze,81,2.176,0,1,
25,2026-04-03 16:03:05,Q-Learning,Z-maze,110,2.086,0,1,
26,2026-04-03 16:03:07,Q-Learning,Z-maze,118,1.957,0,1,
27,2026-04-03 16:03:09,Q-Learning,Z-maze,93,2.089,0,1,
28,2026-04-03 16:03:11,Q-Learning,Z-maze,107,2.021,0,1,
29,2026-04-03 16:03:13,Q-Learning,Z-maze,102,2.01,0,1,
30,2026-04-03 16:03:16,Q-Learning,Z-maze,84,2.91,0,1,
31,2026-04-03 16:03:18,Q-Learning,Z-maze,83,2.08,0,1,
32,2026-04-03 16:03:20,Q-Learning,Z-maze,70,2.071,0,1,
33,2026-04-03 16:03:23,Q-Learning,Z-maze,69,2.278,0,1,
34,2026-04-03 16:03:25,Q-Learning,Z-maze,99,2.146,0,1,
35,2026-04-03 16:03:27,Q-Learning,Z-maze,81,2.134,0,1,
36,2026-04-03 16:03:29,Q-Learning,Z-maze,81,2.09,0,1,
