episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-676.9,82,0,1,500,0.9965,,1.749,
2,-1388.441,172,0,1,500,0.993,,1.883,
3,-926.088,114,0,1,500,0.9895,,1.801,
4,-708.204,88,0,1,500,0.9861,,1.716,
5,-1281.944,159,0,1,500,0.9826,,1.7,
6,-770.025,96,0,1,500,0.9792,,1.733,
7,-1484.596,184,0,1,500,0.9758,,1.667,
8,-1063.837,132,0,1,500,0.9723,,1.8,
9,-1127.238,140,0,1,500,0.9689,,1.705,
10,-1079.556,135,0,1,500,0.9655,,1.691,
11,-873.827,109,0,1,500,0.9622,,1.759,
12,-510.961,64,0,1,500,0.9588,,1.784,
13,-422.187,51,0,1,500,0.9554,,1.838,
14,-1151.482,142,0,1,500,0.9521,,1.769,
15,-691.334,87,0,1,500,0.9488,,1.714,
16,-773.558,98,0,1,500,0.9454,,1.733,
17,-781.192,99,0,1,500,0.9421,,1.766,
18,-1033.595,128,0,1,500,0.9388,,1.746,
19,-429.091,53,0,1,500,0.9356,,1.834,
20,-848.05,107,0,1,500,0.9323,,1.783,
21,-514.29,66,0,1,500,0.929,,1.783,
22,-1002.176,126,0,1,500,0.9258,,1.733,
23,-829.621,102,0,1,500,0.9225,,1.698,
24,-471.205,59,0,1,500,0.9193,,1.833,
25,-921.443,117,0,1,500,0.9161,,1.768,
26,-683.505,86,0,1,500,0.9129,,1.784,
27,-393.224,49,0,1,500,0.9097,,1.816,
28,-574.076,73,0,1,500,0.9065,,1.916,
29,-682.224,87,0,1,500,0.9033,,1.783,
30,-781.295,100,0,1,500,0.9002,,1.8,
31,-651.459,83,0,1,500,0.897,,1.75,
32,-522.676,65,0,1,500,0.8939,,1.801,
33,-645.941,82,0,1,500,0.8907,,1.767,
34,-686.45,86,0,1,500,0.8876,,1.833,
35,-727.045,93,0,1,500,0.8845,,1.817,
36,-874.289,112,0,1,500,0.8814,,1.8,
37,-651.261,83,0,1,500,0.8783,,1.75,
38,-823.723,105,0,1,500,0.8753,,1.75,
39,-847.335,107,0,1,500,0.8722,,1.784,
40,-595.012,76,0,1,500,0.8691,,1.833,
41,-615.335,79,0,1,500,0.8661,,1.804,
42,-814.416,103,0,1,500,0.8631,,1.792,
43,-722.681,91,0,1,500,0.8601,,1.849,
44,-889.897,113,0,1,500,0.857,,1.866,
45,-714.462,91,0,1,500,0.854,,1.815,
46,-524.882,66,0,1,500,0.8511,,1.783,
47,-590.296,74,0,1,500,0.8481,,1.834,
48,-705.845,90,0,1,500,0.8451,,1.866,
49,-916.156,116,0,1,500,0.8421,,1.799,
50,-935.501,119,0,1,500,0.8392,,1.783,
51,-771.191,98,0,1,500,0.8363,,1.783,
52,-645.964,82,0,1,500,0.8333,,1.801,
53,-690.781,88,0,1,500,0.8304,,1.823,
54,-430.957,54,0,1,500,0.8275,,1.782,
55,-572.365,73,0,1,500,0.8246,,1.785,
56,-744.787,94,0,1,500,0.8217,,1.883,
57,-640.032,82,0,1,500,0.8189,,1.834,
58,-816.113,104,0,1,500,0.816,,1.85,
59,-913.886,116,0,1,500,0.8131,,1.882,
60,-658.249,84,0,1,500,0.8103,,1.9,
61,-594.041,76,0,1,500,0.8074,,1.883,
62,-819.743,104,0,1,500,0.8046,,1.816,
63,-724.344,92,0,1,500,0.8018,,1.835,
64,-715.555,91,0,1,500,0.799,,1.811,
65,-449.158,57,0,1,500,0.7962,,1.885,
66,-708.538,91,0,1,500,0.7934,,1.78,
67,-584.528,74,0,1,500,0.7906,,1.734,
68,-537.69,69,0,1,500,0.7879,,1.8,
69,-700.147,89,0,1,500,0.7851,,1.867,
70,-691.086,88,0,1,500,0.7824,,1.779,
71,-744.498,95,0,1,500,0.7796,,1.817,
72,-478.908,61,0,1,500,0.7769,,1.782,
73,-773.773,98,0,1,500,0.7742,,1.8,
74,-638.834,82,0,1,500,0.7715,,1.867,
75,-646.529,83,0,1,500,0.7688,,1.94,
76,-685.722,88,0,1,500,0.7661,,1.756,
77,-723.358,92,0,1,500,0.7634,,1.819,
78,-608.751,77,0,1,500,0.7607,,1.894,
79,-690.932,87,0,1,500,0.7581,,1.817,
80,-616.572,79,0,1,500,0.7554,,1.783,
81,-780.276,99,0,1,500,0.7528,,1.816,
82,-608.019,76,0,1,500,0.7501,,1.817,
83,-673.796,86,0,1,500,0.7475,,1.833,
84,-568.5,73,0,1,500,0.7449,,1.87,
85,-627.351,80,0,1,500,0.7423,,1.833,
86,-572.117,73,0,1,500,0.7397,,1.767,
87,-584.191,75,0,1,500,0.7371,,1.799,
88,-583.121,75,0,1,500,0.7345,,1.849,
89,-627.69,80,0,1,500,0.7319,,1.783,
90,-787.828,100,0,1,500,0.7294,,1.833,
91,-715.471,91,0,1,500,0.7268,,1.834,
92,-549.857,70,0,1,500,0.7243,,1.85,
93,-710.872,91,0,1,500,0.7218,,1.783,
94,-530.692,68,0,1,500,0.7192,,1.833,
95,-693.694,88,0,1,500,0.7167,,1.833,
96,-508.554,65,0,1,500,0.7142,,1.8,
97,-590.395,75,0,1,500,0.7117,,1.838,
98,-485.471,62,0,1,500,0.7092,,1.857,
99,-644.297,81,0,1,500,0.7067,,1.766,
100,-538.372,69,0,1,500,0.7043,,1.868,
101,-684.464,87,0,1,500,0.7018,,1.865,
102,-433.123,56,0,1,500,0.6993,,1.851,
103,-755.282,96,0,1,500,0.6969,,1.75,
104,-692.5,88,0,1,500,0.6944,,1.755,
105,-706.03,90,0,1,500,0.692,,1.841,
106,-146.823,86,1,0,462,0.6896,1.699,1.699,
107,-671.047,85,0,1,500,0.6872,,1.85,
108,-435.378,56,0,1,500,0.6848,,1.828,
109,-663.6,85,0,1,500,0.6824,,1.75,
110,-458.827,59,0,1,500,0.68,,1.767,
111,-553.138,71,0,1,500,0.6776,,1.8,
112,-369.623,48,0,1,500,0.6752,,1.835,
113,-577.589,74,0,1,500,0.6729,,1.789,
114,-409.998,53,0,1,500,0.6705,,1.763,
115,-441.147,57,0,1,500,0.6682,,1.783,
116,-454.281,59,0,1,500,0.6658,,1.86,
117,-690.086,88,0,1,500,0.6635,,1.79,
118,249.115,37,1,0,322,0.6612,1.178,1.178,
119,-442.168,57,0,1,500,0.6589,,1.867,
120,-368.184,48,0,1,500,0.6566,,1.796,
121,-554.015,71,0,1,500,0.6543,,1.862,
